X,Y,Frame,Tiempo_seg
1570.999,216.00073,0,0.0
1570.9161,215.93054,1,0.07001335457604323
1570.9592,216.00891,2,0.14002670915208645
1570.9376,215.99474,3,0.21004006372812967
1571.0731,215.93695,4,0.2800534183041729
1571.0481,215.99496,5,0.35006677288021615
1570.991,215.98099,6,0.42008012745625933
1571.0127,215.91258,7,0.4900934820323026
1571.0624,215.9221,8,0.5601068366083458
1570.9418,216.06563,9,0.630120191184389
1571.0912,216.03392,10,0.7001335457604323
1570.9855,216.04611,11,0.7701469003364755
1571.0858,215.97647,12,0.8401602549125187
1571.0187,215.98442,13,0.910173609488562
1571.037,216.01419,14,0.9801869640646051
1571.0493,215.9669,15,1.0502003186406483
1571.0862,215.97675,16,1.1202136732166916
1571.1002,215.95084,17,1.190227027792735
1570.8949,215.93956,18,1.260240382368778
1571.0668,215.89336,19,1.3302537369448213
1570.9769,215.86833,20,1.4002670915208646
1571.0955,215.956,21,1.4702804460969077
1571.1322,216.05827,22,1.540293800672951
1571.1627,215.95969,23,1.6103071552489943
1570.9742,215.9518,24,1.6803205098250373
1571.0052,216.00574,25,1.7503338644010806
1571.039,215.92813,26,1.820347218977124
1571.0566,215.81552,27,1.890360573553167
1571.0359,216.06444,28,1.9603739281292103
1571.0206,215.9158,29,2.0303872827052536
1571.1543,215.92705,30,2.1004006372812967
1571.0603,215.99385,31,2.17041399185734
1571.0552,216.01459,32,2.2404273464333833
1571.0571,216.00691,33,2.3104407010094263
1570.9938,215.9352,34,2.38045405558547
1571.0178,215.86552,35,2.450467410161513
1571.0377,215.89406,36,2.520480764737556
1571.0896,215.94742,37,2.5904941193135995
1570.9967,215.8907,38,2.6605074738896426
1570.9976,215.83316,39,2.7305208284656857
1571.0856,215.91263,40,2.800534183041729
1570.9945,215.84642,41,2.8705475376177723
1571.0564,215.82088,42,2.9405608921938153
1570.9692,215.89838,43,3.010574246769859
1571.0913,215.91318,44,3.080587601345902
1571.023,215.80142,45,3.150600955921945
1571.0396,215.9027,46,3.2206143104979885
1571.0804,215.87021,47,3.2906276650740316
1570.9431,216.00531,48,3.3606410196500747
1570.8795,215.98839,49,3.430654374226118
1570.8566,215.94211,50,3.5006677288021613
1570.9973,215.99188,51,3.5706810833782043
1570.9813,215.83397,52,3.640694437954248
1571.0109,215.9046,53,3.710707792530291
1571.0012,215.89777,54,3.780721147106334
1571.0068,215.85553,55,3.8507345016823775
1571.1515,215.95789,56,3.9207478562584206
1571.0032,215.88107,57,3.9907612108344637
1571.0963,215.8502,58,4.060774565410507
1571.0585,215.9302,59,4.130787919986551
1571.1018,215.97787,60,4.200801274562593
1571.0535,215.89246,61,4.270814629138637
1570.9602,215.8731,62,4.34082798371468
1570.9247,215.88208,63,4.410841338290723
1571.1145,215.8695,64,4.4808546928667665
1571.0967,215.8273,65,4.55086804744281
1571.0414,215.85233,66,4.620881402018853
1571.0973,215.85663,67,4.690894756594896
1571.1207,215.9326,68,4.76090811117094
1571.0042,215.79044,69,4.830921465746982
1570.9896,215.82521,70,4.900934820323026
1570.9341,215.74983,71,4.970948174899069
1570.9952,215.8066,72,5.040961529475112
1570.9884,215.8361,73,5.1109748840511555
1570.9855,215.8487,74,5.180988238627199
1571.0568,215.80798,75,5.251001593203242
1570.8973,215.76718,76,5.321014947779285
1570.9485,215.74353,77,5.391028302355329
1571.0372,215.74341,78,5.461041656931371
1571.0447,215.93066,79,5.531055011507415
1571.0886,215.78154,80,5.601068366083458
1571.1552,215.87146,81,5.671081720659501
1571.105,215.8265,82,5.7410950752355445
1570.9845,215.87276,83,5.811108429811588
1570.9868,215.78549,84,5.881121784387631
1570.9681,215.80827,85,5.951135138963674
1570.9283,215.77843,86,6.021148493539718
1571.0858,215.71523,87,6.09116184811576
1571.0459,215.7563,88,6.161175202691804
1571.1644,215.7901,89,6.231188557267847
1571.158,215.89325,90,6.30120191184389
1571.0342,215.87923,91,6.3712152664199335
1571.1514,215.82478,92,6.441228620995977
1571.1445,215.85083,93,6.51124197557202
1571.0057,215.91585,94,6.581255330148063
1571.0975,215.82318,95,6.651268684724107
1571.1135,215.76514,96,6.721282039300149
1570.9413,215.80724,97,6.791295393876193
1571.0887,215.78772,98,6.861308748452236
1571.0118,215.78508,99,6.931322103028279
1571.1434,215.74115,100,7.0013354576043225
1571.1268,215.83746,101,7.071348812180366
1569.5911,215.83191,102,7.141362166756409
1553.8865,215.74487,103,7.211375521332452
1549.1185,215.48935,104,7.281388875908496
1547.968,215.39128,105,7.351402230484538
1547.3894,215.21725,106,7.421415585060582
1547.2689,214.99414,107,7.491428939636625
1547.1554,215.03206,108,7.561442294212668
1547.1193,215.08113,109,7.6314556487887115
1547.0739,215.19398,110,7.701469003364755
1546.923,214.87259,111,7.771482357940798
1546.8965,215.09918,112,7.841495712516841
1546.9163,214.96687,113,7.911509067092885
1546.8883,214.98364,114,7.981522421668927
1546.8226,214.84079,115,8.051535776244972
1546.8129,214.99536,116,8.121549130821014
1546.77,214.91737,117,8.191562485397057
1546.9784,214.97325,118,8.261575839973101
1546.9833,215.09976,119,8.331589194549144
1546.911,214.97328,120,8.401602549125187
1546.8325,214.9359,121,8.471615903701231
1546.8048,214.71893,122,8.541629258277274
1546.6566,214.68878,123,8.611642612853316
1546.7566,214.87457,124,8.68165596742936
1546.7537,215.00488,125,8.751669322005403
1546.7122,214.75345,126,8.821682676581446
1546.661,214.8099,127,8.89169603115749
1546.7168,214.81973,128,8.961709385733533
1546.7218,214.95241,129,9.031722740309576
1546.8258,214.86333,130,9.10173609488562
1539.115,214.42761,131,9.171749449461663
1528.46,214.3673,132,9.241762804037705
1525.1685,214.28662,133,9.31177615861375
1524.4917,214.40767,134,9.381789513189792
1523.6976,214.29315,135,9.451802867765835
1523.5756,214.33014,136,9.52181622234188
1523.3616,214.37386,137,9.591829576917922
1523.3439,214.44688,138,9.661842931493965
1523.2963,214.37744,139,9.731856286070009
1523.142,214.64624,140,9.801869640646052
1523.2633,214.46936,141,9.871882995222094
1523.157,214.43845,142,9.941896349798139
1523.0833,214.35306,143,10.011909704374181
1523.0781,214.4317,144,10.081923058950224
1523.1127,214.45607,145,10.151936413526268
1523.0563,214.23508,146,10.221949768102311
1523.0316,214.35223,147,10.291963122678354
1523.0952,214.33641,148,10.361976477254398
1522.9427,214.32797,149,10.43198983183044
1522.9014,214.37892,150,10.502003186406483
1522.7753,214.31352,151,10.572016540982528
1522.938,214.29907,152,10.64202989555857
1522.7888,214.30069,153,10.712043250134613
1522.8215,214.21672,154,10.782056604710657
1522.8398,214.19836,155,10.8520699592867
1522.8821,214.38702,156,10.922083313862743
1522.686,214.18576,157,10.992096668438787
1522.8932,214.25333,158,11.06211002301483
1522.0087,214.18684,159,11.132123377590872
1509.1395,214.12717,160,11.202136732166917
1502.1674,214.06512,161,11.27215008674296
1500.5137,214.07678,162,11.342163441319002
1499.5027,213.95276,163,11.412176795895046
1499.31,214.15263,164,11.482190150471089
1499.1068,214.07901,165,11.552203505047132
1499.158,214.10977,166,11.622216859623176
1498.9165,214.05771,167,11.692230214199219
1498.8708,214.06807,168,11.762243568775261
1498.843,214.07118,169,11.832256923351306
1498.6787,213.99413,170,11.902270277927348
1498.575,214.103,171,11.972283632503391
1498.6212,214.0139,172,12.042296987079435
1498.4928,214.20824,173,12.112310341655478
1498.5333,213.99953,174,12.18232369623152
1498.4384,214.07825,175,12.252337050807565
1498.1996,214.02176,176,12.322350405383608
1498.284,214.1754,177,12.39236375995965
1498.2742,214.04312,178,12.462377114535695
1498.2072,214.02342,179,12.532390469111737
1498.3582,214.03903,180,12.60240382368778
1498.1833,214.07596,181,12.672417178263824
1497.9172,214.00824,182,12.742430532839867
1497.899,213.98187,183,12.81244388741591
1498.0619,214.09552,184,12.882457241991954
1497.8423,213.96286,185,12.952470596567997
1497.8737,213.94371,186,13.02248395114404
1498.1609,214.11703,187,13.092497305720084
1493.4039,213.96786,188,13.162510660296126
1480.8252,213.80507,189,13.232524014872169
1476.6803,213.87305,190,13.302537369448213
1475.2437,213.84038,191,13.372550724024256
1474.9784,213.81369,192,13.442564078600299
1474.6946,213.71576,193,13.512577433176343
1474.5964,213.64374,194,13.582590787752386
1474.418,213.86531,195,13.652604142328428
1474.2101,213.89816,196,13.722617496904473
1474.0212,213.87868,197,13.792630851480515
1473.9713,213.75327,198,13.862644206056558
1473.8812,213.86945,199,13.932657560632602
1473.6567,213.75708,200,14.002670915208645
1473.4819,213.93005,201,14.072684269784688
1473.4534,213.87715,202,14.142697624360732
1473.4142,213.91031,203,14.212710978936775
1473.3623,213.9297,204,14.282724333512817
1473.2,213.77628,205,14.352737688088862
1473.2632,213.7452,206,14.422751042664904
1473.2328,213.83023,207,14.492764397240947
1473.1282,213.79846,208,14.562777751816991
1473.2745,213.76767,209,14.632791106393034
1473.3076,213.92746,210,14.702804460969077
1473.2206,213.83539,211,14.772817815545121
1473.1156,213.90718,212,14.842831170121164
1472.9668,213.81442,213,14.912844524697206
1473.1316,213.70638,214,14.98285787927325
1472.9172,213.68144,215,15.052871233849293
1472.8605,213.75108,216,15.122884588425336
1461.7158,213.51424,217,15.19289794300138
1453.715,213.52444,218,15.262911297577423
1451.3295,213.68733,219,15.332924652153466
1450.7931,213.37206,220,15.40293800672951
1450.42,213.44069,221,15.472951361305553
1450.0974,213.39354,222,15.542964715881595
1449.5554,213.09741,223,15.61297807045764
1449.4315,213.43614,224,15.682991425033682
1449.201,213.50853,225,15.753004779609725
1449.2075,213.38873,226,15.82301813418577
1449.0803,213.47061,227,15.893031488761812
1448.9751,213.43362,228,15.963044843337855
1448.8617,213.13663,229,16.0330581979139
1448.7205,213.33566,230,16.103071552489943
1448.7083,213.29701,231,16.173084907065984
1448.5529,213.22018,232,16.24309826164203
1448.2853,213.56693,233,16.313111616218073
1448.2068,213.53421,234,16.383124970794114
1448.4767,213.32668,235,16.45313832537016
1448.281,213.41417,236,16.523151679946203
1448.3615,213.38094,237,16.593165034522244
1448.35,213.37842,238,16.663178389098288
1448.1472,213.09651,239,16.733191743674332
1448.2158,213.23453,240,16.803205098250373
1448.244,213.19275,241,16.873218452826418
1448.1315,213.35364,242,16.943231807402462
1447.8267,213.21272,243,17.013245161978503
1448.0082,213.38873,244,17.083258516554547
1445.5226,212.99977,245,17.153271871130592
1433.063,212.87881,246,17.223285225706633
1428.0624,212.8453,247,17.293298580282677
1426.3757,212.84372,248,17.36331193485872
1425.4281,212.94038,249,17.433325289434762
1425.0522,212.68459,250,17.503338644010807
1424.7736,212.81084,251,17.57335199858685
1424.7397,212.75143,252,17.643365353162892
1424.3358,212.90654,253,17.713378707738936
1424.2444,212.826,254,17.78339206231498
1424.0914,212.78723,255,17.85340541689102
1423.8606,212.5857,256,17.923418771467066
1423.71,212.57199,257,17.99343212604311
1423.7207,212.83986,258,18.06344548061915
1423.6967,212.46985,259,18.133458835195196
1423.42,212.88873,260,18.20347218977124
1423.2874,212.76436,261,18.27348554434728
1423.1602,212.52136,262,18.343498898923325
1423.2634,212.51097,263,18.41351225349937
1423.1674,212.72516,264,18.48352560807541
1423.05,212.61925,265,18.553538962651455
1423.063,212.42902,266,18.6235523172275
1422.971,212.73712,267,18.69356567180354
1423.1284,212.49408,268,18.763579026379585
1422.8165,212.5777,269,18.83359238095563
1423.0123,212.49268,270,18.90360573553167
1422.8849,212.43427,271,18.973619090107714
1422.8744,212.46825,272,19.04363244468376
1422.8331,212.35034,273,19.1136457992598
1415.0662,212.28696,274,19.183659153835844
1405.2783,212.25714,275,19.25367250841189
1401.9794,212.37558,276,19.32368586298793
1400.8096,212.10696,277,19.393699217563974
1400.2659,212.20723,278,19.463712572140018
1399.9105,212.0828,279,19.53372592671606
1399.3319,212.27934,280,19.603739281292103
1399.3259,212.16928,281,19.673752635868148
1399.1315,212.17545,282,19.74376599044419
1398.9954,212.16496,283,19.813779345020233
1398.745,212.06754,284,19.883792699596277
1398.7075,212.01872,285,19.95380605417232
1398.5916,212.08429,286,20.023819408748363
1398.4269,212.18237,287,20.093832763324407
1398.2317,212.16196,288,20.163846117900448
1398.1301,212.19664,289,20.233859472476492
1397.925,212.04312,290,20.303872827052537
1398.0387,212.07509,291,20.373886181628578
1397.8143,212.09418,292,20.443899536204622
1397.6917,212.08272,293,20.513912890780666
1397.7263,212.0826,294,20.583926245356707
1397.4985,212.19373,295,20.65393959993275
1397.4421,212.19867,296,20.723952954508796
1397.4812,212.09366,297,20.793966309084837
1397.2617,212.05467,298,20.86397966366088
1397.295,211.94583,299,20.933993018236926
1397.2272,212.12155,300,21.004006372812967
1397.2487,212.06763,301,21.07401972738901
1396.1898,211.87633,302,21.144033081965055
1384.4341,211.69836,303,21.214046436541096
1378.0519,211.93935,304,21.28405979111714
1376.2764,211.83034,305,21.354073145693185
1375.0967,211.71323,306,21.424086500269226
1374.6498,211.6528,307,21.49409985484527
1374.3959,211.78421,308,21.564113209421315
1374.1378,211.62326,309,21.634126563997356
1373.4995,211.83176,310,21.7041399185734
1373.469,211.72742,311,21.774153273149444
1373.3135,211.8265,312,21.844166627725485
1373.1753,211.82208,313,21.91417998230153
1373.0494,211.69353,314,21.984193336877574
1372.9742,211.67555,315,22.054206691453615
1372.8376,211.55017,316,22.12422004602966
1372.8308,211.57562,317,22.194233400605704
1372.6809,211.62463,318,22.264246755181745
1372.588,211.57695,319,22.33426010975779
1372.6067,211.53726,320,22.404273464333833
1372.1515,211.69931,321,22.474286818909874
1372.342,211.65297,322,22.54430017348592
1372.2152,211.64975,323,22.614313528061963
1372.0531,211.63394,324,22.684326882638004
1371.8954,211.5799,325,22.75434023721405
1371.8228,211.57901,326,22.824353591790093
1371.7625,211.54575,327,22.894366946366134
1371.6782,211.51642,328,22.964380300942178
1371.9065,211.44376,329,23.034393655518222
1371.6912,211.49394,330,23.104407010094263
1367.0193,211.00989,331,23.174420364670308
1355.5149,210.80531,332,23.244433719246352
1351.5635,210.93335,333,23.314447073822393
1350.2468,211.05946,334,23.384460428398437
1349.6638,210.8133,335,23.454473782974482
1349.0482,211.0242,336,23.524487137550523
1348.7173,210.89023,337,23.594500492126567
1348.4182,211.18379,338,23.66451384670261
1348.073,210.93442,339,23.734527201278652
1348.0923,211.09253,340,23.804540555854697
1347.6892,210.80853,341,23.87455391043074
1347.5795,210.77339,342,23.944567265006782
1347.2014,211.00035,343,24.014580619582826
1347.1858,210.82933,344,24.08459397415887
1347.2377,210.94684,345,24.15460732873491
1347.018,210.6464,346,24.224620683310956
1346.8159,210.78323,347,24.294634037887
1346.8229,210.71007,348,24.36464739246304
1346.7869,210.7115,349,24.434660747039086
1346.7318,210.62897,350,24.50467410161513
1346.582,210.56805,351,24.57468745619117
1346.3889,210.75519,352,24.644700810767215
1346.2684,210.63412,353,24.71471416534326
1346.4049,210.88309,354,24.7847275199193
1346.3041,210.70016,355,24.854740874495345
1346.0173,210.77592,356,24.92475422907139
1346.0432,210.9152,357,24.99476758364743
1345.9448,211.00714,358,25.064780938223475
1345.8285,210.69904,359,25.13479429279952
1335.3855,210.41434,360,25.20480764737556
1327.9415,210.35997,361,25.274821001951604
1325.4147,210.45264,362,25.34483435652765
1324.367,210.40704,363,25.41484771110369
1323.4781,210.46024,364,25.484861065679734
1323.287,210.37653,365,25.55487442025578
1322.7944,210.2053,366,25.62488777483182
1322.6056,210.36316,367,25.694901129407864
1322.4292,210.30511,368,25.764914483983908
1322.0305,210.39607,369,25.83492783855995
1321.6746,210.19287,370,25.904941193135993
1321.6057,210.20618,371,25.974954547712038
1321.5245,210.18362,372,26.04496790228808
1321.4613,210.32129,373,26.114981256864123
1321.2239,210.26517,374,26.184994611440167
1321.0305,210.25601,375,26.25500796601621
1321.012,210.1552,376,26.325021320592253
1320.9233,210.0274,377,26.395034675168297
1320.8871,210.19824,378,26.465048029744338
1320.9236,210.15878,379,26.535061384320382
1320.7341,210.13664,380,26.605074738896427
1320.6683,210.04042,381,26.675088093472468
1320.6277,210.07056,382,26.745101448048512
1320.6567,210.12111,383,26.815114802624556
1320.493,210.17986,384,26.885128157200597
1320.5527,210.0275,385,26.95514151177664
1320.294,210.20238,386,27.025154866352686
1320.2539,210.18266,387,27.095168220928727
1317.3749,209.92284,388,27.16518157550477
1305.6516,209.96991,389,27.235194930080816
1301.0248,209.74095,390,27.305208284656857
1299.11,209.90178,391,27.3752216392329
1298.4338,209.75397,392,27.445234993808945
1297.5613,209.70592,393,27.515248348384986
1297.272,209.71643,394,27.58526170296103
1296.8363,209.68683,395,27.655275057537075
1296.5374,209.5661,396,27.725288412113116
1296.4093,209.8482,397,27.79530176668916
1296.071,209.75156,398,27.865315121265205
1295.6882,209.61462,399,27.935328475841246
1295.4755,209.64606,400,28.00534183041729
1295.4286,209.60066,401,28.075355184993334
1295.3689,209.65805,402,28.145368539569375
1295.1304,209.61212,403,28.21538189414542
1294.9899,209.63193,404,28.285395248721464
1294.9979,209.61423,405,28.355408603297505
1294.8416,209.55495,406,28.42542195787355
1294.8014,209.3957,407,28.495435312449594
1294.7451,209.45567,408,28.565448667025635
1294.6958,209.52948,409,28.63546202160168
1294.6727,209.45787,410,28.705475376177723
1294.567,209.35718,411,28.775488730753764
1294.4503,209.48233,412,28.84550208532981
1294.5021,209.26242,413,28.915515439905853
1294.5424,209.31494,414,28.985528794481894
1294.1724,209.60455,415,29.05554214905794
1294.3584,209.46132,416,29.125555503633983
1286.4001,209.28882,417,29.195568858210024
1277.3411,209.44394,418,29.265582212786068
1274.1188,208.85849,419,29.335595567362112
1272.7767,208.82022,420,29.405608921938153
1271.9706,208.88225,421,29.475622276514198
1271.3741,208.61563,422,29.545635631090242
1271.0568,208.5436,423,29.615648985666283
1270.7955,208.85892,424,29.685662340242327
1270.6945,208.61653,425,29.755675694818372
1270.0858,208.83394,426,29.825689049394413
1269.9713,208.81296,427,29.895702403970457
1269.6403,208.7973,428,29.9657157585465
1269.4695,208.7341,429,30.035729113122542
1269.4232,208.79993,430,30.105742467698587
1269.2018,208.69817,431,30.17575582227463
1269.0782,208.82428,432,30.245769176850672
1269.0559,208.49002,433,30.315782531426716
1269.0778,208.4473,434,30.38579588600276
1268.8628,208.444,435,30.4558092405788
1268.8823,208.4082,436,30.525822595154846
1268.722,208.46077,437,30.59583594973089
1268.592,208.35684,438,30.66584930430693
1268.5167,208.34668,439,30.735862658882976
1268.5283,208.32303,440,30.80587601345902
1268.0294,208.5362,441,30.87588936803506
1268.2131,208.39008,442,30.945902722611105
1268.0267,208.44865,443,31.01591607718715
1267.9924,208.48001,444,31.08592943176319
1266.5985,208.22914,445,31.155942786339235
1254.9395,208.16287,446,31.22595614091528
1249.4341,208.09026,447,31.29596949549132
1247.2388,208.18614,448,31.365982850067365
1246.436,208.12024,449,31.43599620464341
1245.6738,208.04593,450,31.50600955921945
1245.238,208.1062,451,31.576022913795494
1244.8884,208.02957,452,31.64603626837154
1244.6755,207.99467,453,31.71604962294758
1244.2815,208.13579,454,31.786062977523624
1243.852,208.03925,455,31.85607633209967
1243.662,207.92961,456,31.92608968667571
1243.4116,208.1144,457,31.996103041251754
1243.2466,208.06422,458,32.0661163958278
1243.1829,208.04674,459,32.13612975040384
1243.0983,208.05594,460,32.20614310497989
1242.9568,208.06271,461,32.27615645955593
1242.8428,207.98015,462,32.34616981413197
1242.6927,207.91449,463,32.41618316870802
1242.5845,207.87244,464,32.48619652328406
1242.5635,207.7941,465,32.5562098778601
1242.5208,207.8103,466,32.626223232436146
