Fila,a,b,c,d
0,2.9534931690482895,-6.966961902126182,-8.866879574813133,31.70306065873573
1,2.7338202301601777,-6.853911613218503,-8.192706963964973,31.126114694619016
2,2.715779436687556,-6.787605680589666,-8.225407848507668,31.075083673427244
3,2.632235250904801,-6.696236795657178,-8.223601549830239,30.966774113987732
4,2.673279361051049,-6.708272709466942,-8.236080959935817,31.026954272411253
5,2.6753839935606454,-6.719720526730439,-8.219071537414212,30.95838713747032
6,2.6163663553170924,-6.624588271841988,-8.251582563872729,30.909849733070505
7,2.6863729230516284,-6.708779837644619,-8.22837586310853,30.82399799695557
8,2.6008696185539413,-6.589800989127639,-8.257089811915648,30.78505498003105
9,2.6108956908022405,-6.59633023514787,-8.255604372943317,30.80352155219854
10,2.5789818197005725,-6.530054096836947,-8.284495446402728,30.722597198705284
11,2.632540124390823,-6.591058588664742,-8.26349792640336,30.668093685603356
12,2.665571812492521,-6.655895449202374,-8.2261545635185,30.594854866996446
13,2.480012740107616,-6.514846431505783,-8.128992517903633,30.57788792964094
14,2.597841611382958,-6.544347080732359,-8.264241064061046,30.550990376564002
