columna,a,b,c,d
2,-2.447253861738081,6.008893071467409,7.144867215740304,11.837143622845172
3,-2.4554503055257033,6.033305067081489,7.138547151365677,11.888056421775971
4,-2.542025081884727,6.283845280840979,6.911658211102998,11.99812504071227
5,-2.4382189783086554,6.028147768148894,7.113029281034219,12.013887348345861
6,-2.393761402891782,5.9567609626548785,7.137989299535303,12.0719047487679
7,-2.4692202530651635,6.073910752455345,7.080140219507876,12.069238017461634
8,-2.3586267195603563,5.875774340125788,7.1835489010706475,12.124660920035364
9,-2.366830937557013,5.908311778880325,7.148000834960541,12.200899253720609
10,-2.262068012379381,5.718803993279654,7.245018583145773,12.173178039712692
11,-2.348014306381061,5.865570780790386,7.17268797761124,12.29638430796064
12,-2.523994227583222,6.158873468032792,7.032751994875664,12.36787181829213
15,-2.099300206814297,5.557424814950718,7.273507968870364,12.46602393590553
