Fila,m,b
0,-0.06621970643177219,1724.2460355934184
1,-0.07352032934291944,1712.1246596046244
2,-0.0743678176296854,1692.2145052773963
3,-0.07421891009999351,1670.0428897950826
4,-0.07548732163531263,1648.4371363924345
5,-0.07568401115599258,1624.1562160379224
6,-0.07416608688592338,1599.8702060111962
7,-0.07664752926615219,1574.3567064874223
8,-0.07699055339490339,1549.1256419402055
9,-0.07792873220197084,1522.1277461419609
10,-0.07687684845704948,1494.2680001522574
11,-0.07717796170260513,1469.1135352704182
12,-0.07718369979679633,1439.1862591716133
13,-0.07666196545821333,1411.8055888839588
14,-0.07653140308932874,1381.802714983127
15,-0.0765562536766892,1353.2020431259114
16,-0.07634053395715562,1323.956706924703
17,-0.07644955840412433,1293.4446752097165
18,-0.0749551158715082,1265.18849092478
19,-0.07389959472840081,1236.2671649129495
20,-0.0736958112035182,1210.0158942375629
