Fila,a,b,c,d
0,3.239329542743898,-7.633118139556699,-8.301755891022292,29.562518226640318
1,3.959235769909048,-8.653271683860478,-7.684493978085756,29.30265773535307
3,3.2551994960537267,-7.3822895376762,-8.168271538222944,26.558428277726424
4,3.24510166579902,-7.3322319772159394,-8.21483865518304,26.674237208341346
5,3.206506339855641,-7.331075978188756,-8.180129910304567,26.52817465732721
6,3.4985501816241142,-7.784583790840247,-7.985929681701764,26.574692826369954
7,3.507203720289436,-7.750229400958782,-8.000015605152456,26.60896487004353
8,3.588747583511784,-7.889204790849905,-7.952010572690731,26.442458077897623
9,3.452284217193308,-7.6337790662783345,-8.095156996713696,26.580980074327986
10,3.5110123241906224,-7.720183605022122,-8.07146963521156,26.509389423628345
11,3.479200448955695,-7.704607744230094,-8.051952730333364,26.545527448961728
12,3.4645293275879263,-7.731023448355587,-7.984062552846664,26.569266718778362
13,3.2819247341111173,-7.495158726911512,-8.056026083710316,26.50641531147129
15,3.6009128425973045,-7.87981181403269,-7.972717303866479,26.472528088247163
16,3.9430071630677612,-8.653870096791408,-7.424043343973737,26.41197257310899
17,3.361972547525911,-7.582360931766717,-8.034588514504602,26.37855978027937
20,3.631048667514925,-7.962954929526724,-7.916232672948446,26.36210654504912
21,3.5704276824248975,-7.835254004383652,-7.976388660055768,26.34955935363703
22,3.4086357459830006,-7.580910161381741,-8.085689931929526,26.28702604447446
23,3.4423919612745575,-7.58887181102284,-8.114548880741841,26.35052216696169
24,3.329071812167253,-7.48932774614285,-8.105787489981399,26.362329228139497
25,3.3399278771374377,-7.560617503827238,-8.068316279729284,26.291384651098067
26,3.3083161567952217,-7.415455073910305,-8.14346644270506,26.335328697114207
27,3.297067244328696,-7.4192364836397156,-8.13722556404857,26.27718876403986
28,3.872539300246065,-8.27348793023977,-7.919024117573794,26.27518882875558
29,3.088932022538294,-7.189945100429972,-8.159798172523447,26.233125193852953
30,3.360335882390123,-7.542636125544665,-8.088076576002935,26.18011822221905
31,3.391252620229913,-7.54565112937663,-8.08976379628147,26.15061444524192
32,3.570034511990384,-7.7669993483936395,-8.044787798142734,26.20087309005274
33,3.36588932097228,-7.513947856817195,-8.127102853374405,26.096533970837754
34,3.5575031509748927,-7.849825881004562,-7.984829431229505,26.112226403294756
36,3.3431830927409223,-7.532817352975146,-8.090638952012204,26.087880732633053
37,3.544672238891663,-7.790426698121653,-8.034383768037035,26.061566336154474
38,3.631982778401284,-7.905797477318627,-7.9762881605219045,26.05537186559162
39,3.5408373073042716,-7.746297874548613,-8.05519422674373,26.040165992879814
40,3.421437561105142,-7.623681874073586,-8.073719881711174,25.963529047846738
41,3.39103313543727,-7.604860647768832,-8.051426624061152,25.89317966203885
