Columna,a,b,c,d
2,-2.947596063827102,6.775893885286012,7.719746236666854,1.4878760100601696
3,-2.9773973072883906,6.855238684113708,7.6397680643654935,1.4753625493498768
4,-2.6767611006670906,6.4095733039293,7.788117703941248,4.055842845044705
6,-2.8090265455932433,6.620487723304692,7.707787670200652,1.4560696138225626
7,-2.739061891242715,6.535171269899442,7.699977898878852,4.048604719498185
9,-2.9116553848730495,6.775270367662302,7.627495458199551,1.443091876494733
10,-2.930367974102303,6.788065963731409,7.631456138983141,1.4518723116373355
11,-2.824596412932201,6.631745140358709,7.684368209652382,1.4691560661768388
12,-2.7969525930521595,6.620431849425693,7.671316813071031,4.033039943955595
13,-2.8416306736557493,6.6704117146992505,7.6550384351259115,1.4193433927353667
16,-2.831214675520208,6.639130285109771,7.658403280950909,1.4625714994991716
