Fila,m,b
0,-0.06275167300660119,578.5520119994765
1,-0.0642761968963608,599.3682013977955
2,-0.06475268648619574,622.6481040152347
3,-0.06598629514600929,646.4653013535101
4,-0.06688252803186694,674.3533467196769
5,-0.06789371673679552,704.890168033875
6,-0.06919767576149947,733.854437461733
7,-0.06953575231887801,764.9367542746054
8,-0.07001829908619041,793.9371099662626
9,-0.07198054099208616,830.0297281804485
10,-0.07286764801957828,865.6515594340589
11,-0.0722677396078466,897.9811886718437
12,-0.07288465396493637,932.2046543448149
13,-0.0724073122094471,967.6540645785037
14,-0.07279196562838655,996.9872935149629
15,-0.07164328157268218,1032.6617700225902
