Columna,m,b
0,-0.06753456410090804,1175.334760993498
1,-0.07535713821072895,1160.1036154268425
2,-0.07810277756227689,1047.0438536204672
3,-0.07882660799253549,919.1524943637058
4,-0.07554705106714099,794.8396079754842
5,-0.07576650985220335,657.2803852923444
6,-0.0792388563910693,734.0818334543359
7,-0.07901098523938592,606.5845910477123
8,-0.08281282912916375,569.5143727515646
9,-0.08369490492238699,538.0368768015405
10,-0.0832743807623173,505.87789659896976
11,-0.08428660737167494,473.6162194094178
12,-0.08606273821280519,343.3630115454841
13,-0.08647267013217741,199.15889096197353
14,-0.09132314123137641,278.4829616962307
15,-0.08669714052821953,111.46198545752975
16,-0.08788118766171249,101.14769635579182
17,-0.0812053074295711,68.09717838986481
18,-0.08701375906056391,129.71026178537815
