Fila,a,b,c,d
0,-0.0001881558510986091,0.0018296387681917962,-0.08441242627358671,1.0049319294099908
1,-0.00021824707094548297,0.002095251760624912,-0.08638419860792676,1.0057453840014194
2,-0.00022063278579256563,0.002126316199147485,-0.08663454281456912,1.0042830045442472
3,-0.00022022513890948347,0.002130336608593717,-0.08676888499779668,1.0048318251672879
4,-0.00021902952694235274,0.002116029521780651,-0.08673377841547397,1.0063207506003053
5,-0.00022080810482763273,0.0021467309382854206,-0.08691182197750931,1.0055060950439656
6,-0.00022086496115385746,0.0021440609036908263,-0.08690511025135234,1.005460909660627
7,-0.0002157557432448902,0.0020643616263024663,-0.0866790972575282,1.004990326359094
8,-0.00021939857521475798,0.002125872387493874,-0.0869662324573415,1.0042526029472858
9,-0.00021866078416327107,0.0021229403619247808,-0.08696058434009384,1.0049678984670547
10,-0.00021627505771866208,0.002071903531580325,-0.08672417413016736,1.004560876067823
11,-0.0002127231621728771,0.0020200453614807276,-0.08659527977310144,1.004399117812674
12,-0.0002129928552378525,0.0020296087448829258,-0.08660444929071154,1.0047962139754933
13,-0.00021793230559156047,0.002118116732382751,-0.08699698222867291,1.005304529726555
14,-0.00020967525929010405,0.001968849777361198,-0.08624626023843178,1.0039881002840443
15,-0.0001780497468169447,0.001421115993363826,-0.08308091919109793,1.0092676462841284
