Columnas,a,b,c,d
0,0.00016935008111812269,-0.004279940054015224,0.1098880229303521,0.00265536754221006
1,0.00018667412976514062,-0.004647876299044897,0.11309830329485837,0.0015429597961687793
2,0.00018530905261615277,-0.004627298471354839,0.11309491863542077,0.0017754237625234302
3,0.00019374898994394652,-0.004782734900107438,0.11381387463285779,0.0012490564730328624
4,0.0001879651251659647,-0.004682314761074592,0.11340757145006636,0.001562774863219085
5,0.00018616547743643906,-0.004644391937361321,0.11316426671577363,0.0013199782531205114
7,0.000186085750719688,-0.004634901864936567,0.11308506233098904,0.0015856581188710803
8,0.0001879609691091748,-0.004669533100577252,0.11324240930471534,0.0015801249814962788
9,0.00018862225263929468,-0.004690194668162439,0.11335266974497989,0.001654251854853117
10,0.00018362918560343452,-0.004591669146755841,0.1128598935353138,0.0017572065317234572
11,0.00018839533878253255,-0.004667462186231354,0.11316811702056205,0.0015775179696742292
12,0.00018633708828333552,-0.00463792974120809,0.11305000777977078,0.0021324170712896688
13,0.0001879544724536965,-0.004666948677184068,0.11318079493089764,0.001744474857787717
14,0.00018558534525031506,-0.004622124733949697,0.11299229841640349,0.0020840357209859074
15,0.00018559394480587534,-0.004611737879467814,0.11281893057541544,0.0023583302043297316
16,0.00018979470437564374,-0.004695186740361587,0.11319800013354629,0.0017818157834923283
17,0.00020293186110899363,-0.0049994194405505125,0.11538174185614375,-0.004126001286691661
18,0.00018948326245042432,-0.004682801265427367,0.11310922676829584,0.003982428757741008
19,0.00018792397037145322,-0.004664619276352566,0.11320826007668344,0.0008878719225986061
20,0.0001574980309940278,-0.004223692090492686,0.11160135225171165,0.0022500483875165012
