Fila,m,b
0,-0.03294203617510797,146.28125151087391
1,-0.034171900782087185,169.97008790075122
2,-0.03500640794530532,196.61797854568346
3,-0.03496075171878406,224.75878417192874
4,-0.03573133637224308,251.76335330091982
5,-0.034288297094608754,273.36330023244096
6,-0.035593657551896724,303.630155799358
7,-0.0349700166603772,328.96735567686784
8,-0.03541426891861399,356.0299806917774
9,-0.03542002194399299,385.3735074507412
10,-0.03497908639241316,410.4798358396513
11,-0.03455211037057866,436.793449160628
12,-0.03336385386510437,461.96033468633675
13,-0.033259927419319525,488.40447569240155
