Columnas,m,b
0,-0.09529830238746144,1532.4250263747358
1,-0.08156091772636824,1504.4882519879854
2,-0.08558526010118678,1485.6881457482818
3,-0.08681021042653203,1462.1050236397814
4,-0.09112443870121889,1437.9860967366633
5,-0.08880676548763256,1409.0542656533707
6,-0.08933380713485528,1378.7094590788874
7,-0.09022963332839098,1349.127283788207
8,-0.09056437070582253,1318.543786790264
9,-0.09219951694299566,1286.7235271063607
10,-0.09290213124984568,1253.3477646239598
11,-0.09319820105328547,1221.0191912670357
12,-0.09460564270662752,1186.3987288960002
13,-0.12518045225344232,1172.7841333553106
14,-0.08948391855018567,1117.1096130304834
15,-0.09380513635115695,1087.7176102935362
