Fila,a,b,c,d
1,-0.0001436900447510601,0.01329351393598842,-0.4787092556648648,7.0552259591837005
2,-0.00014523996296974596,0.013430744003709189,-0.48272159564749084,7.089068212742009
3,-0.00014361046032284022,0.013248115263575107,-0.4761955714346665,7.012165309216615
4,-0.0001426375972566166,0.013137889896672214,-0.47207484405673905,6.958872765500341
5,-0.00015316966837582472,0.014191739136758412,-0.5069980937465358,7.340692290728289
6,-0.000143187204289218,0.01316015797623552,-0.4719769555089547,6.944140263806462
7,-0.00014613935890048018,0.013436807313845799,-0.48058648148900235,7.028845940842127
9,-0.00014580819893032163,0.013366723109679806,-0.4771891770861583,6.974702603538319
11,-0.00014259912453022406,0.013008469821424437,-0.464293084333216,6.816332009897028
12,-0.00014385917577026854,0.013109217987794177,-0.4668758924194935,6.8336655934935635
