Fila,a,b,c,d
0,-2.828362856331434,6.5794000483312285,8.293705041134094,8.818744305468703
1,-2.899266193506244,6.774678895387575,7.98131248926656,9.003122734215507
2,-2.864695913165553,6.7280292570370035,7.984864099789671,8.998103723078515
3,-3.012108010541636,6.963175702018176,7.889871338163161,9.080431260694334
4,-2.8989496430128256,6.793833316027113,7.949355214810307,9.044662915529832
5,-2.878512363241271,6.750080729244047,7.980742348749396,9.04931074287121
7,-2.8804026991076315,6.739676954136909,7.988932414793544,9.107628438973311
8,-2.919573337699934,6.802928301279171,7.9627205641781025,9.101034477159466
9,-2.9227853879029118,6.826853361926792,7.9481497499616705,9.179062574163309
10,-2.8385929637368235,6.6777171528486265,8.017177921946693,9.125428895480383
11,-2.9381972301946004,6.813507945134881,7.969182177100969,9.152845891858513
12,-2.880447514660187,6.742540037611135,7.990092964008148,9.220996384577054
13,-2.923846530075888,6.806893880443387,7.967352641141582,9.201591553875856
14,-2.8706108059261033,6.722434462663553,7.9966124992917225,9.253302575439315
15,-2.8825359560438018,6.723841408717488,8.014059268057666,9.269344551385563
16,-2.975638223129342,6.8800633838276095,7.95432351716716,9.292490702492591
17,-3.1427738407638013,7.21271399309078,7.745814003399233,9.366830925715206
18,-2.975859650058156,6.8874549516897385,7.935398360111535,9.386655437271001
19,-2.9164015847374736,6.783626573092227,7.979589880206242,9.35072518665
20,-2.33789074078443,6.083525844143787,8.190727079853938,9.358565410116384
