Columnas,a,b,c,d
0,0.00016935008111811867,-0.008755748087308878,0.22472949474469606,-1.4134008925453574
1,0.00018667412976515005,-0.009677035438178314,0.2417400543347926,-1.5241348642844263
2,0.0001853090526161567,-0.009618029822031629,0.24097967028100345,-1.5205079352258521
3,0.0001937489899439446,-0.010044985751983372,0.2480548938254714,-1.564933426043048
4,0.0001879651251659652,-0.009769510747718577,0.24378507040206213,-1.5406422852091028
5,0.0001861654774364419,-0.009684588519734649,0.24247731895878086,-1.5350234142332144
7,0.0001860857507196852,-0.00970694665646585,0.24338788923122257,-1.5480016490153465
8,0.00018796096910917717,-0.00978853307358387,0.24449455295635672,-1.5518989645199466
9,0.00018862225263929422,-0.009871552476767315,0.2466872776196854,-1.5742961720495476
10,0.00018362918560343238,-0.009607665830246937,0.24214910377781657,-1.545164789457666
11,0.00018839533878254008,-0.009827650330048107,0.24550951540326663,-1.5641078534455795
12,0.00018633708828333929,-0.009783057582089992,0.2457804696426687,-1.5765582433711547
13,0.00018795447245369384,-0.009843371678918947,0.24638957163324338,-1.5760241749710213
14,0.00018558534525031742,-0.009764174552916796,0.2458603104243208,-1.5819475757186008
15,0.0001855939448058764,-0.009764672652024154,0.24587051586959996,-1.5838908147022817
16,0.00018979470437564366,-0.009974048582390267,0.2491991016952814,-1.602518445282752
17,0.0002029318611089976,-0.010655075182432182,0.2608105767975647,-1.6701728004898844
18,0.00018948326245042356,-0.010016853741192856,0.25104354027435183,-1.6262551653010295
19,0.00018792397037145192,-0.00992040036326585,0.249177556990833,-1.6121590008288227
20,0.0001574980309940369,-0.008638963457352987,0.23179780673805153,-1.5379568109778237
