Fila,m,b
0,-0.014407113513070884,566.3970843528969
1,-0.007597649682301831,566.8837826220613
2,-0.01810667645362084,578.3723334026685
3,-0.022983657033859645,590.3042714261635
4,-0.023282831138236038,603.9377454243216
5,-0.024149630927940063,608.4615880735473
6,-0.024853083413120026,614.254556450204
7,-0.024832018933109316,621.5547146199403
8,-0.025362410806257216,627.713609433613
9,-0.024711832587983696,635.1286979326252
10,-0.025883147075559512,645.8204131557442
11,-0.02573733664558771,653.551947109131
12,-0.025884482669564068,662.6753462489773
13,-0.02809031745610156,673.0686330192316
14,-0.027576189789799307,681.7661481428997
15,-0.026543589345646153,690.1354417521821
16,-0.02727838090881469,699.4345729361153
17,-0.027336042482178923,707.004368317724
18,-0.031110929074647242,720.9272929755792
19,-0.019077629673007825,719.2181153913928
20,-0.0290943959875152,730.0790210298036
21,-0.02885323796431075,740.0537927426693
22,-0.029127624713913596,747.6707927961397
23,-0.029261839150471283,755.9970198472805
24,-0.028563464853667727,762.9980272977589
25,-0.030245745282012515,780.2867594222047
26,-0.030027964448001904,790.1422018485661
27,-0.030400861951387723,796.6975622800808
28,-0.027873930104213667,806.0599338266322
29,-0.03397754744220714,820.1912778403441
30,-0.030435054563905783,824.8468215919986
31,-0.031276283537690616,839.3942710274488
32,-0.030903651657481847,850.411476678151
33,-0.03180113372462888,858.7813461658471
34,-0.03190330014849558,869.743626619828
35,-0.031084450303337365,879.3349671087116
36,-0.03290553099657301,894.9046757455769
37,-0.030114487531369964,900.2297452058615
38,-0.038154989963912714,917.4856241778391
39,-0.03298733848211571,924.363583525505
40,-0.03268895271969511,933.7121282369895
41,-0.03240900746494521,945.2870871707471
